timestamp,open,high,low,close,volume
2023-01-02 00:00:00,16650,16660,16640,16655,12.5
2023-01-02 00:01:00,16655,16670,16650,16665,11.2
2023-01-02 00:02:00,16665,16675,16660,16670,10.8
2023-01-02 00:03:00,16670,16690,16665,16685,15.1
2023-01-02 00:04:00,16685,16695,16680,16690,13.4
2023-01-02 00:05:00,16690,16705,16685,16700,14.2
2023-01-02 00:06:00,16700,16710,16695,16705,9.9
2023-01-02 00:07:00,16705,16720,16700,16715,8.3
2023-01-02 00:08:00,16715,16730,16710,16725,7.8
2023-01-02 00:09:00,16725,16735,16720,16730,7.5
2023-01-02 00:10:00,16730,16740,16725,16735,6.9
2023-01-02 00:11:00,16735,16750,16730,16745,6.5
2023-01-02 00:12:00,16745,16755,16740,16750,5.9
2023-01-02 00:13:00,16750,16765,16745,16760,5.5
2023-01-02 00:14:00,16760,16770,16755,16765,5.1
2023-01-02 00:15:00,16765,16780,16760,16775,4.9
2023-01-02 00:16:00,16775,16790,16770,16785,4.6
2023-01-02 00:17:00,16785,16795,16780,16790,4.4
2023-01-02 00:18:00,16790,16800,16785,16795,4.1
2023-01-02 00:19:00,16795,16805,16790,16800,3.8
2023-01-02 00:20:00,16800,16810,16795,16805,3.5
2023-01-02 00:21:00,16805,16815,16800,16810,3.3
2023-01-02 00:22:00,16810,16820,16805,16815,3.1
2023-01-02 00:23:00,16815,16825,16810,16820,2.9
